date,operator,shape_uuid,shape_name,average_total_count,average_available_count,average_on_trip_count,average_non_operational_count,average_reserved_count,average_unknown_count
2022-08-04,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,1.29,1.21,0,0,0,0.08
2022-08-04,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-04,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-04,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
2022-08-05,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,148.1,146.39,0.7,0.01,0,1
2022-08-05,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-05,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,593.97,571.77,14.57,3.92,0.01,3.7
2022-08-05,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,340.43,329.62,5.25,4,0.02,1.53
2022-08-05,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,68.4,52.73,0.64,13.87,1.17,0
2022-08-05,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-05,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,325.48,280.37,15.68,23.5,5.93,0
2022-08-05,lime,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,325.6,276.99,7.49,34.52,6.61,0
2022-08-05,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,4.98,4.86,0,0,0,0.12
2022-08-05,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-05,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-05,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
2022-08-06,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,102.43,100.3,0.57,0.47,0,1.08
2022-08-06,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-06,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,627.69,593.73,23.1,7.99,0.02,2.85
2022-08-06,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,321.84,307.01,5.64,7.44,0.04,1.71
2022-08-06,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,74.91,60.47,0.91,12.12,1.42,0
2022-08-06,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-06,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,293.13,237.04,17.94,33.43,4.73,0
2022-08-06,lime,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,353.35,297.06,7.43,41.44,7.42,0
2022-08-06,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,16.65,4.65,0,0.65,0,11.34
2022-08-06,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-06,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-06,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
2022-08-07,bird,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,127.6,123.65,0.95,1.98,0.02,1
2022-08-07,bird,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-07,bird,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,548.22,518.7,14.33,8.32,0.01,6.86
2022-08-07,bird,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,390.65,380.45,3.98,4.17,0,2.06
2022-08-07,lime,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,72.84,53.95,0.67,16.22,1.99,0
2022-08-07,lime,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-07,lime,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,243.8,202.53,12.96,24.57,3.73,0
2022-08-07,lime,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,396.3,347.98,6.77,35.19,6.35,0
2022-08-07,veoride,9c7539a9-80df-4ee3-9128-98d560c5269a,Access Zone,20,1,0,0,0,19
2022-08-07,veoride,NOT_IN_SHAPE,NOT_IN_SHAPE,0,0,0,0,0,0
2022-08-07,veoride,aa7d5aa5-608c-4eec-b4de-20e76b931fad,High Utilization Zone,0,0,0,0,0,0
2022-08-07,veoride,bd251c37-ecc5-4cf4-bc14-421bf18159f5,Rest of Indianapolis,0,0,0,0,0,0
