geography=Zones;total count=1055.1100000000001;operator=bird;vehicle type=all;Daily Vehicles;vehicle state=Deployed;all/weekday/weekend=All
name,value,percent
Access Zone,114.2,10.823516031503823
High Utilization Zone,611.11,57.91907952725308
Rest of Indianapolis,329.8,31.257404441243093
